[Debug] image_index=8, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_3fa23f4bb6984d7aa442857e95af715c.jpg, class_id=0, prob=0.566, bbox=(x=0.62, y=0.87, w=0.07, h=0.02)
[Debug] image_index=8, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_3fa23f4bb6984d7aa442857e95af715c.jpg, class_id=0, prob=0.561, bbox=(x=0.61, y=0.88, w=0.08, h=0.04)
[Debug] image_index=9, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_67ec68f7e9ac4814a6cac8f89760222a.jpg, class_id=6, prob=0.525, bbox=(x=0.83, y=0.67, w=0.30, h=0.36)
[Debug] image_index=9, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_67ec68f7e9ac4814a6cac8f89760222a.jpg, class_id=6, prob=0.323, bbox=(x=0.86, y=0.76, w=0.26, h=0.44)
[Debug] image_index=9, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_67ec68f7e9ac4814a6cac8f89760222a.jpg, class_id=6, prob=0.148, bbox=(x=0.74, y=0.67, w=0.29, h=0.39)
[Debug] image_index=9, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_67ec68f7e9ac4814a6cac8f89760222a.jpg, class_id=6, prob=0.030, bbox=(x=0.67, y=0.60, w=0.29, h=0.40)
[Debug] image_index=9, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_67ec68f7e9ac4814a6cac8f89760222a.jpg, class_id=6, prob=0.024, bbox=(x=0.76, y=0.57, w=0.31, h=0.34)
[Debug] image_index=9, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_67ec68f7e9ac4814a6cac8f89760222a.jpg, class_id=6, prob=0.011, bbox=(x=0.89, y=0.85, w=0.23, h=0.49)
[Debug] image_index=9, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_67ec68f7e9ac4814a6cac8f89760222a.jpg, class_id=6, prob=0.007, bbox=(x=0.58, y=0.58, w=0.29, h=0.45)
[Debug] image_index=9, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_67ec68f7e9ac4814a6cac8f89760222a.jpg, class_id=0, prob=0.623, bbox=(x=0.18, y=0.57, w=0.08, h=0.03)
[Debug] image_index=9, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_67ec68f7e9ac4814a6cac8f89760222a.jpg, class_id=0, prob=0.439, bbox=(x=0.06, y=0.56, w=0.05, h=0.03)
[Debug] image_index=9, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_67ec68f7e9ac4814a6cac8f89760222a.jpg, class_id=0, prob=0.062, bbox=(x=0.24, y=0.72, w=0.06, h=0.04)
[Debug] image_index=9, path=/data/personal/nykwak/model_pipeline_dataset/images/202308_67ec68f7e9ac4814a6cac8f89760222a.jpg, class_id=0, prob=0.033, bbox=(x=0.24, y=0.74, w=0.08, h=0.06)
